param sigma :
    1       2 :=
1   0.00001 0.99999
2   0.1     0.9
3   0.2     0.8
4   0.3     0.7
5   0.4     0.6
6   0.5     0.5
7   0.6     0.4
8   0.7     0.3
9   0.8     0.2
10  0.9     0.1
11  0.99999 0.00001
;

set P := 1 2 3;
set M := 1 2 3 4;
set O := 1 2 3 4 5;

param cost :=
# p m o  cost
1 1 1 12   1 1 2 14   1 1 3 15   1 1 4 9    1 1 5 11
1 2 1 18   1 2 2 14   1 2 3 5    1 2 4 11   1 2 5 14
1 3 1 5    1 3 2 16   1 3 3 5    1 3 4 16   1 3 5 16
1 4 1 13   1 4 2 10   1 4 3 20   1 4 4 6    1 4 5 6
2 1 1 9    2 1 2 13   2 1 3 9    2 1 4 8    2 1 5 17
2 2 1 18   2 2 2 19   2 2 3 9    2 2 4 10   2 2 5 19
2 3 1 10   2 3 2 14   2 3 3 6    2 3 4 12   2 3 5 17
2 4 1 12   2 4 2 14   2 4 3 12   2 4 4 20   2 4 5 12
3 1 1 6    3 1 2 5    3 1 3 7    3 1 4 7    3 1 5 13
3 2 1 13   3 2 2 10   3 2 3 19   3 2 4 18   3 2 5 12
3 3 1 6    3 3 2 17   3 3 3 20   3 3 4 14   3 3 5 17
3 4 1 6    3 4 2 14   3 4 3 10   3 4 4 12   3 4 5 5
;

param time_ :=
# p m o  time
1 1 1 143 1 1 2 103 1 1 3 173 1 1 4 112 1 1 5 157
1 2 1 147 1 2 2 192 1 2 3 110 1 2 4 193 1 2 5 184
1 3 1 174 1 3 2 133 1 3 3 161 1 3 4 168 1 3 5 106
1 4 1 166 1 4 2 126 1 4 3 190 1 4 4 200 1 4 5 112
2 1 1 105 2 1 2 183 2 1 3 145 2 1 4 188 2 1 5 122
2 2 1 177 2 2 2 147 2 2 3 131 2 2 4 111 2 2 5 169
2 3 1 144 2 3 2 117 2 3 3 139 2 3 4 180 2 3 5 117
2 4 1 141 2 4 2 175 2 4 3 124 2 4 4 118 2 4 5 157
3 1 1 109 3 1 2 192 3 1 3 126 3 1 4 133 3 1 5 114
3 2 1 194 3 2 2 164 3 2 3 165 3 2 4 103 3 2 5 154
3 3 1 200 3 3 2 113 3 3 3 155 3 3 4 146 3 3 5 199
3 4 1 172 3 4 2 173 3 4 3 191 3 4 4 102 3 4 5 118
;
